race,lap,i_num,i_rank,m_num,m_rank,ave_rank,norm_ave_rank,goal_rank,point,Skater ID
3,3,1,13,1,13,13,0.8125,1,60,1
3,3,2,16,2,16,16,1,15,0,15
3,3,3,14,3,15,14.5,0.90625,2,40,2
3,3,4,9,4,10,9.5,0.59375,13,0,13
3,3,5,6,5,7,6.5,0.40625,3,20,3
3,3,6,11,6,9,10,0.625,4,0,4
3,3,7,3,7,3,3,0.1875,16,0,16
3,3,8,15,8,14,14.5,0.90625,5,0,5
3,3,9,12,9,12,12,0.75,8,0,8
3,3,10,8,10,8,8,0.5,11,0,11
3,3,11,4,11,4,4,0.25,9,0,9
3,3,12,5,12,5,5,0.3125,7,0,7
3,3,13,1,13,1,1,0.0625,14,0,14
3,3,14,10,14,11,10.5,0.65625,6,0,6
3,3,15,2,15,2,2,0.125,12,0,12
3,3,16,7,16,6,6.5,0.40625,10,0,10
3,2,1,8,1,7,7.5,0.46875,1,60,1
3,2,2,16,2,16,16,1,15,0,15
3,2,3,10,3,10,10,0.625,2,40,2
3,2,4,3,4,3,3,0.1875,13,0,13
3,2,5,4,5,4,4,0.25,3,20,3
3,2,6,6,6,6,6,0.375,4,0,4
3,2,7,15,7,15,15,0.9375,16,0,16
3,2,8,7,8,8,7.5,0.46875,5,0,5
3,2,9,9,9,9,9,0.5625,8,0,8
3,2,10,13,10,14,13.5,0.84375,11,0,11
3,2,11,11,11,11,11,0.6875,9,0,9
3,2,12,12,12,12,12,0.75,7,0,7
3,2,13,1,13,1,1,0.0625,14,0,14
3,2,14,5,14,5,5,0.3125,6,0,6
3,2,15,2,15,2,2,0.125,12,0,12
3,2,16,14,16,13,13.5,0.84375,10,0,10
3,1,1,7,1,7,7,0.4375,1,60,1
3,1,2,15,2,15,15,0.9375,15,0,15
3,1,3,8,3,8,8,0.5,2,40,2
3,1,4,14,4,13,13.5,0.84375,13,0,13
3,1,5,3,5,3,3,0.1875,3,20,3
3,1,6,5,6,5,5,0.3125,4,0,4
3,1,7,16,7,16,16,1,16,0,16
3,1,8,6,8,6,6,0.375,5,0,5
3,1,9,9,9,9,9,0.5625,8,0,8
3,1,10,13,10,11,12,0.75,11,0,11
3,1,11,11,11,14,12.5,0.78125,9,0,9
3,1,12,10,12,10,10,0.625,7,0,7
3,1,13,1,13,1,1,0.0625,14,0,14
3,1,14,4,14,4,4,0.25,6,0,6
3,1,15,2,15,2,2,0.125,12,0,12
3,1,16,12,16,12,12,0.75,10,0,10
7,3,1,1,1,1,1,0.0625,5,0,11
7,3,2,10,2,10,10,0.625,7,0,5
7,3,3,5,3,5,5,0.3125,1,60,1
7,3,4,,4,,,0,16,0,8
7,3,5,11,5,11,11,0.6875,11,0,3
7,3,6,15,6,15,15,0.9375,15,0,22
7,3,7,14,7,14,14,0.875,13,0,4
7,3,8,3,8,3,3,0.1875,4,0,2
7,3,9,12,9,12,12,0.75,10,0,20
7,3,10,4,10,4,4,0.25,6,0,18
7,3,11,13,11,13,13,0.8125,12,0,13
7,3,12,6,12,6,6,0.375,3,20,16
7,3,13,7,13,7,7,0.4375,9,0,19
7,3,14,2,14,2,2,0.125,2,40,17
7,3,15,9,15,9,9,0.5625,8,0,18
7,3,16,8,16,8,8,0.5,14,0,21
7,2,1,6,1,6,6,0.375,5,0,11
7,2,2,7,2,7,7,0.4375,7,0,5
7,2,3,2,3,2,2,0.125,1,60,1
7,2,4,,4,,,0,16,0,8
7,2,5,9,5,8,8.5,0.53125,11,0,3
7,2,6,15,6,15,15,0.9375,15,0,22
7,2,7,14,7,14,14,0.875,13,0,4
7,2,8,4,8,4,4,0.25,4,0,2
7,2,9,11,9,10,10.5,0.65625,10,0,20
7,2,10,1,10,1,1,0.0625,6,0,18
7,2,11,13,11,13,13,0.8125,12,0,13
7,2,12,5,12,5,5,0.3125,3,20,16
7,2,13,12,13,12,12,0.75,9,0,19
7,2,14,3,14,3,3,0.1875,2,40,17
7,2,15,8,15,9,8.5,0.53125,8,0,18
7,2,16,10,16,11,10.5,0.65625,14,0,21
7,1,1,6,1,6,6,0.375,5,0,11
7,1,2,7,2,7,7,0.4375,7,0,5
7,1,3,4,3,4,4,0.25,1,60,1
7,1,4,,4,,,0,16,0,8
7,1,5,11,5,8,9.5,0.59375,11,0,3
7,1,6,15,6,15,15,0.9375,15,0,22
7,1,7,13,7,14,13.5,0.84375,13,0,4
7,1,8,3,8,3,3,0.1875,4,0,2
7,1,9,9,9,10,9.5,0.59375,10,0,20
7,1,10,1,10,1,1,0.0625,6,0,18
7,1,11,14,11,13,13.5,0.84375,12,0,13
7,1,12,5,12,5,5,0.3125,3,20,16
7,1,13,10,13,12,11,0.6875,9,0,19
7,1,14,2,14,2,2,0.125,2,40,17
7,1,15,8,15,9,8.5,0.53125,8,0,18
7,1,16,12,16,11,11.5,0.71875,14,0,21
8,3,1,5,1,5,5,0.3125,4,0,26
8,3,2,1,2,1,1,0.0625,14,0,36
8,3,3,9,3,9,9,0.5625,8,0,30
8,3,4,,4,,,0,6,0,28
8,3,5,15,5,15,15,0.9375,15,0,37
8,3,6,10,6,11,10.5,0.65625,9,0,31
8,3,7,11,7,10,10.5,0.65625,12,0,34
8,3,8,2,8,2,2,0.125,2,40,24
8,3,9,8,9,8,8,0.5,5,0,27
8,3,10,7,10,7,7,0.4375,7,0,29
8,3,11,6,11,6,6,0.375,1,60,23
8,3,12,3,12,3,3,0.1875,3,20,25
8,3,13,12,13,12,12,0.75,10,0,32
8,3,14,14,14,14,14,0.875,13,0,35
8,3,15,4,15,4,4,0.25,16,0,38
8,3,16,13,16,13,13,0.8125,11,0,33
8,2,1,4,1,4,4,0.25,4,0,26
8,2,2,1,2,1,1,0.0625,14,0,36
8,2,3,8,3,8,8,0.5,8,0,30
8,2,4,,4,,,0,6,0,28
8,2,5,15,5,15,15,0.9375,15,0,37
8,2,6,10,6,10,10,0.625,9,0,31
8,2,7,12,7,12,12,0.75,12,0,34
8,2,8,2,8,2,2,0.125,2,40,24
8,2,9,7,9,7,7,0.4375,5,0,27
8,2,10,6,10,6,6,0.375,7,0,29
8,2,11,5,11,5,5,0.3125,1,60,23
8,2,12,3,12,3,3,0.1875,3,20,25
8,2,13,11,13,11,11,0.6875,10,0,32
8,2,14,14,14,14,14,0.875,13,0,35
8,2,15,9,15,9,9,0.5625,16,0,38
8,2,16,13,16,13,13,0.8125,11,0,33
8,1,1,4,1,3,3.5,0.21875,4,0,26
8,1,2,14,2,14,14,0.875,14,0,36
8,1,3,7,3,7,7,0.4375,8,0,30
8,1,4,,4,,,0,6,0,28
8,1,5,15,5,15,15,0.9375,15,0,37
8,1,6,9,6,9,9,0.5625,9,0,31
8,1,7,11,7,11,11,0.6875,12,0,34
8,1,8,1,8,1,1,0.0625,2,40,24
8,1,9,6,9,6,6,0.375,5,0,27
8,1,10,3,10,4,3.5,0.21875,7,0,29
8,1,11,2,11,2,2,0.125,1,60,23
8,1,12,5,12,5,5,0.3125,3,20,25
8,1,13,10,13,10,10,0.625,10,0,32
8,1,14,13,14,13,13,0.8125,13,0,35
8,1,15,8,15,8,8,0.5,16,0,38
8,1,16,12,16,12,12,0.75,11,0,33
9,3,1,9,1,9,9,0.6,1,60,1
9,3,2,5,2,5,5,0.333333333,11,0,15
9,3,3,8,3,8,8,0.533333333,4,0,17
9,3,4,13,4,14,13.5,0.9,6,0,11
9,3,5,10,5,10,10,0.666666667,2,40,18
9,3,6,2,6,2,2,0.133333333,8,0,41
9,3,7,6,7,6,6,0.4,13,0,13
9,3,8,11,8,11,11,0.733333333,3,20,3
9,3,9,1,9,1,1,0.066666667,14,0,40
9,3,10,7,10,7,7,0.466666667,10,0,44
9,3,11,14,11,13,13.5,0.9,12,0,45
9,3,12,12,12,12,12,0.8,7,0,42
9,3,13,15,13,15,15,1,15,0,46
9,3,14,4,14,4,4,0.266666667,9,0,43
9,3,15,3,15,3,3,0.2,5,0,8
9,2,1,8,1,8,8,0.533333333,1,60,1
9,2,2,7,2,6,6.5,0.433333333,11,0,15
9,2,3,9,3,10,9.5,0.633333333,4,0,17
9,2,4,13,4,13,13,0.866666667,6,0,11
9,2,5,10,5,9,9.5,0.633333333,2,40,18
9,2,6,3,6,3,3,0.2,8,0,41
9,2,7,1,7,1,1,0.066666667,13,0,13
9,2,8,11,8,11,11,0.733333333,3,20,3
9,2,9,6,9,5,5.5,0.366666667,14,0,40
9,2,10,2,10,2,2,0.133333333,10,0,44
9,2,11,14,11,14,14,0.933333333,12,0,45
9,2,12,12,12,12,12,0.8,7,0,42
9,2,13,15,13,15,15,1,15,0,46
9,2,14,4,14,4,4,0.266666667,9,0,43
9,2,15,5,15,7,6,0.4,5,0,8
9,1,1,3,1,3,3,0.2,1,60,1
9,1,2,12,2,12,12,0.8,11,0,15
9,1,3,5,3,6,5.5,0.366666667,4,0,17
9,1,4,9,4,10,9.5,0.633333333,6,0,11
9,1,5,1,5,1,1,0.066666667,2,40,18
9,1,6,7,6,7,7,0.466666667,8,0,41
9,1,7,11,7,9,10,0.666666667,13,0,13
9,1,8,2,8,2,2,0.133333333,3,20,3
9,1,9,14,9,14,14,0.933333333,14,0,40
9,1,10,6,10,5,5.5,0.366666667,10,0,44
9,1,11,13,11,13,13,0.866666667,12,0,45
9,1,12,8,12,8,8,0.533333333,7,0,42
9,1,13,15,13,15,15,1,15,0,46
9,1,14,10,14,11,10.5,0.7,9,0,43
9,1,15,4,15,4,4,0.266666667,5,0,8
10,3,1,5,1,5,5,0.3125,2,40,47
10,3,2,2,2,2,2,0.125,5,0,25
10,3,3,7,3,7,7,0.4375,3,20,26
10,3,4,15,4,15,15,0.9375,15,0,34
10,3,5,13,5,13,13,0.8125,12,0,30
10,3,6,,6,,,0,,0,28
10,3,7,1,7,1,1,0.0625,11,0,49
10,3,8,3,8,4,3.5,0.21875,1,60,27
10,3,9,8,9,8,8,0.5,4,0,35
10,3,10,9,10,9,9,0.5625,6,0,50
10,3,11,4,11,3,3.5,0.21875,10,0,32
10,3,12,10,12,11,10.5,0.65625,7,0,51
10,3,13,6,13,6,6,0.375,9,0,53
10,3,14,11,14,12,11.5,0.71875,13,0,48
10,3,15,12,15,10,11,0.6875,8,0,52
10,3,16,14,16,14,14,0.875,14,0,54
10,2,1,5,1,3,4,0.25,2,40,47
10,2,2,1,2,1,1,0.0625,5,0,25
10,2,3,8,3,7,7.5,0.46875,3,20,26
10,2,4,15,4,15,15,0.9375,15,0,34
10,2,5,7,5,9,8,0.5,12,0,30
10,2,6,,6,,,0,,0,28
10,2,7,2,7,2,2,0.125,11,0,49
10,2,8,3,8,5,4,0.25,1,60,27
10,2,9,4,9,4,4,0.25,4,0,35
10,2,10,10,10,8,9,0.5625,6,0,50
10,2,11,9,11,11,10,0.625,10,0,32
10,2,12,12,12,10,11,0.6875,7,0,51
10,2,13,13,13,13,13,0.8125,9,0,53
10,2,14,6,14,6,6,0.375,13,0,48
10,2,15,11,15,12,11.5,0.71875,8,0,52
10,2,16,14,16,14,14,0.875,14,0,54
10,1,1,5,1,5,5,0.3125,2,40,47
10,1,2,3,2,3,3,0.1875,5,0,25
10,1,3,1,3,1,1,0.0625,3,20,26
10,1,4,15,4,15,15,0.9375,15,0,34
10,1,5,8,5,8,8,0.5,12,0,30
10,1,6,,6,,,0,,0,28
10,1,7,11,7,11,11,0.6875,11,0,49
10,1,8,4,8,4,4,0.25,1,60,27
10,1,9,2,9,2,2,0.125,4,0,35
10,1,10,6,10,6,6,0.375,6,0,50
10,1,11,13,11,9,11,0.6875,10,0,32
10,1,12,10,12,10,10,0.625,7,0,51
10,1,13,12,13,12,12,0.75,9,0,53
10,1,14,7,14,7,7,0.4375,13,0,48
10,1,15,9,15,13,11,0.6875,8,0,52
10,1,16,14,16,14,14,0.875,14,0,54
11,3,1,7,1,7,7,0.4375,2,40,1
11,3,2,5,2,5,5,0.3125,8,0,56
11,3,3,14,3,15,14.5,0.90625,15,0,15
11,3,4,2,4,2,2,0.125,11,0,18
11,3,5,3,5,3,3,0.1875,7,0,2
11,3,6,11,6,11,11,0.6875,10,0,13
11,3,7,12,7,12,12,0.75,5,0,40
11,3,8,4,8,4,4,0.25,4,0,3
11,3,9,1,9,1,1,0.0625,13,0,11
11,3,10,9,10,9,9,0.5625,3,20,41
11,3,11,6,11,6,6,0.375,1,60,17
11,3,12,13,12,14,13.5,0.84375,14,0,42
11,3,13,8,13,8,8,0.5,12,0,46
11,3,14,10,14,10,10,0.625,6,0,55
11,3,15,15,15,13,14,0.875,9,0,43
11,3,16,,16,,,0,16,0,57
11,2,1,5,1,5,5,0.3125,2,40,1
11,2,2,4,2,4,4,0.25,8,0,56
11,2,3,15,3,14,14.5,0.90625,15,0,15
11,2,4,9,4,9,9,0.5625,11,0,18
11,2,5,1,5,1,1,0.0625,7,0,2
11,2,6,10,6,10,10,0.625,10,0,13
11,2,7,12,7,11,11.5,0.71875,5,0,40
11,2,8,3,8,3,3,0.1875,4,0,3
11,2,9,7,9,7,7,0.4375,13,0,11
11,2,10,2,10,2,2,0.125,3,20,41
11,2,11,6,11,6,6,0.375,1,60,17
11,2,12,14,12,15,14.5,0.90625,14,0,42
11,2,13,11,13,12,11.5,0.71875,12,0,46
11,2,14,8,14,8,8,0.5,6,0,55
11,2,15,13,15,13,13,0.8125,9,0,43
11,2,16,,16,,,0,16,0,57
11,1,1,7,1,7,7,0.4375,2,40,1
11,1,2,6,2,6,6,0.375,8,0,56
11,1,3,15,3,14,14.5,0.90625,15,0,15
11,1,4,9,4,9,9,0.5625,11,0,18
11,1,5,1,5,1,1,0.0625,7,0,2
11,1,6,11,6,10,10.5,0.65625,10,0,13
11,1,7,5,7,5,5,0.3125,5,0,40
11,1,8,4,8,4,4,0.25,4,0,3
11,1,9,10,9,12,11,0.6875,13,0,11
11,1,10,8,10,8,8,0.5,3,20,41
11,1,11,2,11,2,2,0.125,1,60,17
11,1,12,14,12,15,14.5,0.90625,14,0,42
11,1,13,13,13,13,13,0.8125,12,0,46
11,1,14,3,14,3,3,0.1875,6,0,55
11,1,15,12,15,11,11.5,0.71875,9,0,43
11,1,16,,16,,,0,16,0,57
12,3,1,4,1,4,4,0.181818182,6,0,25
12,3,2,3,2,3,3,0.136363636,1,60,47
12,3,3,5,3,5,5,0.227272727,3,20,26
12,3,4,1,4,1,1,0.045454545,17,0,28
12,3,5,,5,,,0,22,0,34
12,3,6,6,6,6,6,0.272727273,4,0,30
12,3,7,10,7,10,10,0.454545455,7,0,35
12,3,8,14,8,14,14,0.636363636,14,0,58
12,3,9,11,9,11,11,0.5,10,0,49
12,3,10,7,10,7,7,0.318181818,5,0,50
12,3,11,12,11,12,12,0.545454545,9,0,51
12,3,12,8,12,8,8,0.363636364,13,0,39
12,3,13,9,13,9,9,0.409090909,11,0,59
12,3,14,2,14,2,2,0.090909091,2,40,27
12,3,15,,15,,,0,20,0,64
12,3,16,,16,,,0,21,0,65
12,3,17,19,17,19,19,0.863636364,19,0,29
12,3,18,18,18,18,18,0.818181818,16,0,62
12,3,19,13,19,13,13,0.590909091,18,0,63
12,3,20,15,20,15,15,0.681818182,15,0,61
12,3,21,17,21,17,17,0.772727273,8,0,54
12,3,22,16,22,16,16,0.727272727,12,0,60
12,2,1,4,1,4,4,0.181818182,6,0,25
12,2,2,3,2,3,3,0.136363636,1,60,47
12,2,3,5,3,5,5,0.227272727,3,20,26
12,2,4,1,4,1,1,0.045454545,17,0,28
12,2,5,,5,,,0,22,0,34
12,2,6,6,6,6,6,0.272727273,4,0,30
12,2,7,9,7,9,9,0.409090909,7,0,35
12,2,8,17,8,17,17,0.772727273,14,0,58
12,2,9,12,9,12,12,0.545454545,10,0,49
12,2,10,7,10,7,7,0.318181818,5,0,50
12,2,11,11,11,11,11,0.5,9,0,51
12,2,12,10,12,10,10,0.454545455,13,0,39
12,2,13,8,13,8,8,0.363636364,11,0,59
12,2,14,2,14,2,2,0.090909091,2,40,27
12,2,15,,15,,,0,20,0,64
12,2,16,,16,,,0,21,0,65
12,2,17,19,17,19,19,0.863636364,19,0,29
12,2,18,18,18,18,18,0.818181818,16,0,62
12,2,19,16,19,16,16,0.727272727,18,0,63
12,2,20,15,20,15,15,0.681818182,15,0,61
12,2,21,14,21,14,14,0.636363636,8,0,54
12,2,22,13,22,13,13,0.590909091,12,0,60
12,1,1,2,1,2,2,0.090909091,6,0,25
12,1,2,1,2,1,1,0.045454545,1,60,47
12,1,3,3,3,3,3,0.136363636,3,20,26
12,1,4,7,4,7,7,0.318181818,17,0,28
12,1,5,,5,,,0,22,0,34
12,1,6,5,6,5,5,0.227272727,4,0,30
12,1,7,9,7,9,9,0.409090909,7,0,35
12,1,8,17,8,17,17,0.772727273,14,0,58
12,1,9,12,9,12,12,0.545454545,10,0,49
12,1,10,6,10,6,6,0.272727273,5,0,50
12,1,11,11,11,11,11,0.5,9,0,51
12,1,12,10,12,10,10,0.454545455,13,0,39
12,1,13,8,13,8,8,0.363636364,11,0,59
12,1,14,4,14,4,4,0.181818182,2,40,27
12,1,15,,15,,,0,20,0,64
12,1,16,,16,,,0,21,0,65
12,1,17,19,17,19,19,0.863636364,19,0,29
12,1,18,18,18,18,18,0.818181818,16,0,62
12,1,19,16,19,16,16,0.727272727,18,0,63
12,1,20,15,20,15,15,0.681818182,15,0,61
12,1,21,14,21,14,14,0.636363636,8,0,54
12,1,22,13,22,13,13,0.590909091,12,0,60
14,3,1,4,1,4,4,0.181818182,1,60,25
14,3,2,9,2,9,9,0.409090909,3,20,47
14,3,3,7,3,7,7,0.318181818,4,0,26
14,3,4,8,4,8,8,0.363636364,19,0,34
14,3,5,2,5,2,2,0.090909091,7,0,58
14,3,6,12,6,12,12,0.545454545,8,0,32
14,3,7,14,7,14,14,0.636363636,11,0,53
14,3,8,1,8,1,1,0.045454545,12,0,35
14,3,9,15,9,15,15,0.681818182,14,0,51
14,3,10,13,10,13,13,0.590909091,10,0,50
14,3,11,3,11,3,3,0.136363636,13,0,39
14,3,12,17,12,17,17,0.772727273,9,0,59
14,3,13,22,13,22,22,1,22,0,29
14,3,14,16,14,16,16,0.727272727,17,0,64
14,3,15,20,15,20,20,0.909090909,18,0,65
14,3,16,10,16,10,10,0.454545455,2,40,30
14,3,17,5,17,5,5,0.227272727,6,0,49
14,3,18,11,18,11,11,0.5,15,0,66
14,3,19,19,19,19,19,0.863636364,20,0,63
14,3,20,6,20,6,6,0.272727273,5,0,27
14,3,21,21,21,21,21,0.954545455,21,0,61
14,3,22,18,22,18,18,0.818181818,16,0,62
14,2,1,3,1,3,3,0.136363636,1,60,25
14,2,2,9,2,9,9,0.409090909,3,20,47
14,2,3,6,3,6,6,0.272727273,4,0,26
14,2,4,1,4,1,1,0.045454545,19,0,34
14,2,5,8,5,8,8,0.363636364,7,0,58
14,2,6,11,6,11,11,0.5,8,0,32
14,2,7,2,7,2,2,0.090909091,11,0,53
14,2,8,16,8,16,16,0.727272727,12,0,35
14,2,9,13,9,13,13,0.590909091,14,0,51
14,2,10,12,10,12,12,0.545454545,10,0,50
14,2,11,15,11,15,15,0.681818182,13,0,39
14,2,12,17,12,17,17,0.772727273,9,0,59
14,2,13,22,13,22,22,1,22,0,29
14,2,14,18,14,18,18,0.818181818,17,0,64
14,2,15,20,15,20,20,0.909090909,18,0,65
14,2,16,10,16,10,10,0.454545455,2,40,30
14,2,17,4,17,4,4,0.181818182,6,0,49
14,2,18,7,18,7,7,0.318181818,15,0,66
14,2,19,14,19,14,14,0.636363636,20,0,63
14,2,20,5,20,5,5,0.227272727,5,0,27
14,2,21,21,21,21,21,0.954545455,21,0,61
14,2,22,19,22,19,19,0.863636364,16,0,62
14,1,1,2,1,2,2,0.090909091,1,60,25
14,1,2,6,2,6,6,0.272727273,3,20,47
14,1,3,4,3,4,4,0.181818182,4,0,26
14,1,4,10,4,10,10,0.454545455,19,0,34
14,1,5,11,5,11,11,0.5,7,0,58
14,1,6,12,6,12,12,0.545454545,8,0,32
14,1,7,9,7,9,9,0.409090909,11,0,53
14,1,8,14,8,14,14,0.636363636,12,0,35
14,1,9,15,9,15,15,0.681818182,14,0,51
14,1,10,8,10,8,8,0.363636364,10,0,50
14,1,11,17,11,17,17,0.772727273,13,0,39
14,1,12,13,12,13,13,0.590909091,9,0,59
14,1,13,22,13,22,22,1,22,0,29
14,1,14,18,14,18,18,0.818181818,17,0,64
14,1,15,20,15,20,20,0.909090909,18,0,65
14,1,16,3,16,3,3,0.136363636,2,40,30
14,1,17,1,17,1,1,0.045454545,6,0,49
14,1,18,7,18,7,7,0.318181818,15,0,66
14,1,19,19,19,19,19,0.863636364,20,0,63
14,1,20,5,20,5,5,0.227272727,5,0,27
14,1,21,21,21,21,21,0.954545455,21,0,61
14,1,22,16,22,16,16,0.727272727,16,0,62
16,3,1,7,1,7,7,0.304347826,2,40,25
16,3,2,4,2,4,4,0.173913043,3,20,26
16,3,3,9,3,9,9,0.391304348,1,60,47
16,3,4,6,4,6,6,0.260869565,5,0,58
16,3,5,21,5,21,21,0.913043478,21,0,34
16,3,6,5,6,5,5,0.217391304,4,0,67
16,3,7,19,7,19,19,0.826086957,17,0,68
16,3,8,18,8,18,18,0.782608696,13,0,51
16,3,9,3,9,3,3,0.130434783,7,0,48
16,3,10,10,10,10,10,0.434782609,6,0,35
16,3,11,15,11,15,15,0.652173913,19,0,28
16,3,12,8,12,8,8,0.347826087,9,0,32
16,3,13,13,13,13,13,0.565217391,10,0,52
16,3,14,12,14,12,12,0.52173913,15,0,39
16,3,15,2,15,2,2,0.086956522,12,0,50
16,3,16,14,16,14,14,0.608695652,14,0,59
16,3,17,16,17,16,16,0.695652174,20,0,70
16,3,18,23,18,23,23,1,23,0,65
16,3,19,17,19,17,17,0.739130435,18,0,29
16,3,20,22,20,22,22,0.956521739,22,0,31
16,3,21,20,21,20,20,0.869565217,16,0,53
16,3,22,11,22,11,11,0.47826087,8,0,24
16,3,23,1,23,1,1,0.043478261,11,0,69
16,2,1,7,1,7,7,0.304347826,2,40,25
16,2,2,4,2,4,4,0.173913043,3,20,26
16,2,3,8,3,8,8,0.347826087,1,60,47
16,2,4,6,4,6,6,0.260869565,5,0,58
16,2,5,21,5,21,21,0.913043478,21,0,34
16,2,6,5,6,5,5,0.217391304,4,0,67
16,2,7,18,7,18,18,0.782608696,17,0,68
16,2,8,15,8,15,15,0.652173913,13,0,51
16,2,9,2,9,2,2,0.086956522,7,0,48
16,2,10,9,10,9,9,0.391304348,6,0,35
16,2,11,20,11,20,20,0.869565217,19,0,28
16,2,12,11,12,11,11,0.47826087,9,0,32
16,2,13,12,13,12,12,0.52173913,10,0,52
16,2,14,13,14,13,13,0.565217391,15,0,39
16,2,15,3,15,3,3,0.130434783,12,0,50
16,2,16,14,16,14,14,0.608695652,14,0,59
16,2,17,17,17,17,17,0.739130435,20,0,70
16,2,18,23,18,23,23,1,23,0,65
16,2,19,16,19,16,16,0.695652174,18,0,29
16,2,20,22,20,22,22,0.956521739,22,0,31
16,2,21,19,21,19,19,0.826086957,16,0,53
16,2,22,10,22,10,10,0.434782609,8,0,24
16,2,23,1,23,1,1,0.043478261,11,0,69
16,1,1,5,1,5,5,0.217391304,2,40,25
16,1,2,3,2,3,3,0.130434783,3,20,26
16,1,3,6,3,6,6,0.260869565,1,60,47
16,1,4,1,4,1,1,0.043478261,5,0,58
16,1,5,21,5,21,21,0.913043478,21,0,34
16,1,6,4,6,4,4,0.173913043,4,0,67
16,1,7,18,7,18,18,0.782608696,17,0,68
16,1,8,14,8,14,14,0.608695652,13,0,51
16,1,9,2,9,2,2,0.086956522,7,0,48
16,1,10,7,10,7,7,0.304347826,6,0,35
16,1,11,20,11,20,20,0.869565217,19,0,28
16,1,12,11,12,11,11,0.47826087,9,0,32
16,1,13,12,13,12,12,0.52173913,10,0,52
16,1,14,13,14,13,13,0.565217391,15,0,39
16,1,15,9,15,9,9,0.391304348,12,0,50
16,1,16,15,16,15,15,0.652173913,14,0,59
16,1,17,17,17,17,17,0.739130435,20,0,70
16,1,18,23,18,23,23,1,23,0,65
16,1,19,16,19,16,16,0.695652174,18,0,29
16,1,20,22,20,22,22,0.956521739,22,0,31
16,1,21,19,21,19,19,0.826086957,16,0,53
16,1,22,8,22,8,8,0.347826087,8,0,24
16,1,23,10,23,10,10,0.434782609,11,0,69